ANO_REF;TURMA_PREF;CURSO;NOME_CURSO;SERIE;SIT_ALUNO;ALUNO;NOME_COMPL;ALUNO_DT_NASC;ALUNO_RG;ALUNO_FONE;ALUNO_EMAIL;ALUNO_FONE_CEL;PAI_NOME;PAI_FONE_CEL;PAI_FONE;PAI_FONE_RECADO;PAI_EMAIL;MAE_NOME;MAE_FONE_CEL;MAE_FONE;MAE_FONE_RECADO;MAE_EMAIL;FINAN_NOME;FINAN_FONE;LEGAL_NOME;LEGAL_FONE
2026;EConPub-1PMC;0214520217;Ensino Médio/Técnico em Publicidade;1;Matriculado;2026001;Felipe Nascimento Souza;05/04/2011;20.814.532-5;(12) 3420-6514;felipe.souza14@exemplo.com.br;(12) 98189-7224;José Oliveira Souza;(12) 98065-1488;(12) 3299-6881;;jose.souza@exemplo.com.br;Vanessa Gomes Nascimento;(12) 98191-4582;(12) 3818-5333;;vanessa.nascimento@exemplo.com.br;Carlos Rodrigues Gomes;(12) 98451-8359;Vanessa Gomes Nascimento;(12) 98191-4582
2026;EConPub-2PMB;0214520217;Ensino Médio/Técnico em Publicidade;2;Matriculado;2026002;Miguel Oliveira Nascimento;27/05/2010;34.384.564-5;(12) 3563-4432;miguel.nascimento86@exemplo.com.br;(12) 98546-2169;Sérgio Ferreira Nascimento;(12) 99442-2139;(12) 3823-3803;;sergio.nascimento@exemplo.com.br;Vanessa Rodrigues Oliveira;(12) 98093-4733;(12) 3450-3677;;vanessa.oliveira@exemplo.com.br;Vanessa Rodrigues Oliveira;(12) 98093-4733;Vanessa Rodrigues Oliveira;(12) 98093-4733
2026;EConACli-3PMD;0214520237;Ensino Médio/Técnico em Análises Clínicas;3;Pré-matrícula;2026003;João Araújo Gomes;08/01/2009;39.246.371-2;(12) 3774-9830;joao.gomes34@exemplo.com.br;(12) 99529-8019;Carlos Araújo Gomes;(12) 98135-4456;(12) 3797-7543;;carlos.gomes@exemplo.com.br;Luciana Nascimento Araújo;(12) 99870-6155;(12) 3341-9348;;luciana.araujo@exemplo.com.br;Luciana Nascimento Araújo;(12) 99870-6155;Luciana Nascimento Araújo;(12) 99870-6155
2026;EConQui-1PMA;0214520235;Ensino Médio/Técnico em Química;1;Pré-matrícula;2026004;João Costa Carvalho;14/11/2011;44.868.373-5;(12) 3645-3591;joao.carvalho59@exemplo.com.br;(12) 98006-5315;Sérgio Oliveira Carvalho;(12) 99220-8668;(12) 3712-3927;;sergio.carvalho@exemplo.com.br;Luciana Carvalho Costa;(12) 99083-5119;(12) 3308-5889;;luciana.costa@exemplo.com.br;Luciana Carvalho Costa;(12) 99083-5119;Luciana Carvalho Costa;(12) 99083-5119
2026;EConEletr-3PMB;0214520205;Ensino Médio/Técnico em Eletrônica;3;Matriculado;2026005;Pedro Ferreira Carvalho;18/03/2009;25.999.680-1;(12) 3697-2133;pedro.carvalho98@exemplo.com.br;(12) 99090-3060;Eduardo Silva Carvalho;(12) 99000-1319;(12) 3331-8787;;eduardo.carvalho@exemplo.com.br;Vanessa Araújo Ferreira;(12) 98229-6947;(12) 3369-5342;;vanessa.ferreira@exemplo.com.br;Eduardo Silva Carvalho;(12) 99000-1319;Eduardo Silva Carvalho;(12) 99000-1319
2026;EConEletr-2PMA;0214520205;Ensino Médio/Técnico em Eletrônica;2;Matriculado;2026006;Davi Rodrigues Ferreira;13/05/2010;14.132.980-5;(12) 3443-5562;davi.ferreira86@exemplo.com.br;(12) 98994-4510;Antônio Martins Ferreira;(12) 98247-5061;(12) 3752-3167;;antonio.ferreira@exemplo.com.br;Carla Martins Rodrigues;(12) 98460-2049;(12) 3784-8744;(12) 98968-7669;carla.rodrigues@exemplo.com.br;Eduardo Almeida Almeida;(12) 98014-2163;Carla Martins Rodrigues;(12) 98460-2049
2026;EConInf-1PMD;0214520209;Ensino Médio/Técnico em Informática;1;Matriculado;2026007;João Gomes Costa;14/07/2011;37.287.385-7;(12) 3277-8260;joao.costa71@exemplo.com.br;(12) 98200-1828;Ricardo Santos Costa;(12) 98824-6559;(12) 3867-9856;;ricardo.costa@exemplo.com.br;Patrícia Santos Gomes;(12) 99639-2790;(12) 3295-4872;(12) 98994-8886;patricia.gomes@exemplo.com.br;Ricardo Santos Costa;(12) 98824-6559;Ricardo Santos Costa;(12) 98824-6559
2026;EConInf-2PMD;0214520209;Ensino Médio/Técnico em Informática;2;Transferido;2026008;Pedro Carvalho Silva;09/07/2010;43.261.158-8;(12) 3390-2122;pedro.silva77@exemplo.com.br;(12) 98139-4853;Ricardo Lima Silva;(12) 98317-4111;(12) 3613-2964;;ricardo.silva@exemplo.com.br;Luciana Ribeiro Carvalho;(12) 98607-4566;(12) 3783-5033;;luciana.carvalho@exemplo.com.br;Eduardo Santos Araújo;(12) 98117-1821;Luciana Ribeiro Carvalho;(12) 98607-4566
2026;EConQui-3PMA;0214520235;Ensino Médio/Técnico em Química;3;Matriculado;2026009;Miguel Araújo Martins;07/05/2009;49.676.202-1;(12) 3718-5345;miguel.martins17@exemplo.com.br;(12) 99911-6718;Antônio Almeida Martins;(12) 98268-5915;(12) 3270-5002;;antonio.martins@exemplo.com.br;Cláudia Carvalho Araújo;(12) 98936-6180;(12) 3361-8179;;claudia.araujo@exemplo.com.br;Cláudia Carvalho Araújo;(12) 98936-6180;Cláudia Carvalho Araújo;(12) 98936-6180
2026;EConPub-2PMB;0214520217;Ensino Médio/Técnico em Publicidade;2;Pré-matrícula;2026010;João Lima Martins;04/11/2010;26.617.600-4;;joao.martins7@exemplo.com.br;(12) 98189-7939;Marcos Nascimento Martins;(12) 99520-3546;(12) 3483-1722;(12) 99579-3143;marcos.martins@exemplo.com.br;Patrícia Souza Lima;(12) 98557-5616;(12) 3852-5291;(12) 98904-8007;patricia.lima@exemplo.com.br;Marcos Nascimento Martins;(12) 99520-3546;Marcos Nascimento Martins;(12) 99520-3546
2026;EConEletr-1PMB;0214520205;Ensino Médio/Técnico em Eletrônica;1;Pré-matrícula;2026011;Gabriel Pereira Nascimento;27/01/2011;16.462.898-8;;gabriel.nascimento53@exemplo.com.br;(12) 99994-3532;Antônio Pereira Nascimento;(12) 98085-6050;(12) 3442-3662;;antonio.nascimento@exemplo.com.br;Luciana Pereira Pereira;(12) 98746-1653;(12) 3381-7755;(12) 99508-6442;luciana.pereira@exemplo.com.br;Antônio Pereira Nascimento;(12) 98085-6050;Antônio Pereira Nascimento;(12) 98085-6050
2026;EConAdm-3PMB;0214520201;Ensino Médio/Técnico em Administração;3;Matriculado;2026012;Rafael Costa Carvalho;04/12/2009;22.508.436-4;;rafael.carvalho99@exemplo.com.br;(12) 98571-6753;Fernando Santos Carvalho;(12) 98408-8541;(12) 3856-9346;;fernando.carvalho@exemplo.com.br;Renata Almeida Costa;(12) 98716-6000;(12) 3749-6425;;renata.costa@exemplo.com.br;Fernando Santos Carvalho;(12) 98408-8541;Fernando Santos Carvalho;(12) 98408-8541
2026;EConQui-2PMC;0214520235;Ensino Médio/Técnico em Química;2;Matriculado;2026013;Henrique Nascimento Silva;20/02/2010;37.101.632-8;;henrique.silva95@exemplo.com.br;(12) 99509-4228;Fernando Ferreira Silva;(12) 99241-9379;(12) 3572-8066;(12) 99360-6409;fernando.silva@exemplo.com.br;Simone Gomes Nascimento;(12) 98236-7311;(12) 3838-6143;;simone.nascimento@exemplo.com.br;Fernando Ferreira Silva;(12) 99241-9379;Fernando Ferreira Silva;(12) 99241-9379
2026;EConQui-3PMC;0214520235;Ensino Médio/Técnico em Química;3;Matriculado;2026014;Camila Lima Araújo;11/07/2009;45.953.100-4;(12) 3640-6279;camila.araujo60@exemplo.com.br;(12) 98904-8244;Fernando Lima Araújo;(12) 98392-7888;(12) 3891-4501;;fernando.araujo@exemplo.com.br;Carla Pereira Lima;(12) 99361-7211;(12) 3953-3780;;carla.lima@exemplo.com.br;Fernando Lima Araújo;(12) 98392-7888;Fernando Lima Araújo;(12) 98392-7888
2026;EConACli-3PMB;0214520237;Ensino Médio/Técnico em Análises Clínicas;3;Pré-matrícula;2026015;Beatriz Almeida Araújo;08/05/2009;10.868.981-1;;beatriz.araujo29@exemplo.com.br;(12) 98360-9486;Paulo Pereira Araújo;(12) 98501-8784;(12) 3675-1822;;paulo.araujo@exemplo.com.br;Márcia Santos Almeida;(12) 99251-2193;(12) 3324-8478;(12) 98951-9702;marcia.almeida@exemplo.com.br;Paulo Carvalho Ribeiro;(12) 98818-4997;Márcia Santos Almeida;(12) 99251-2193
2026;EConEletr-3PMC;0214520205;Ensino Médio/Técnico em Eletrônica;3;Matriculado;2026016;Isabela Gomes Ribeiro;15/09/2009;27.443.427-8;(12) 3354-4788;isabela.ribeiro50@exemplo.com.br;(12) 99421-3503;Marcos Ribeiro Ribeiro;(12) 99539-5050;(12) 3923-4505;(12) 98834-6421;marcos.ribeiro@exemplo.com.br;Renata Nascimento Gomes;(12) 99720-5543;(12) 3755-8633;;renata.gomes@exemplo.com.br;Ricardo Almeida Nascimento;(12) 98900-2269;Renata Nascimento Gomes;(12) 99720-5543
2026;EConInf-2PMD;0214520209;Ensino Médio/Técnico em Informática;2;Matriculado;2026017;Helena Silva Gomes;13/10/2010;11.498.444-6;;helena.gomes60@exemplo.com.br;(12) 99883-3091;Ricardo Silva Gomes;(12) 99543-7389;(12) 3837-9751;(12) 98806-1444;ricardo.gomes@exemplo.com.br;Simone Lima Silva;(12) 99747-7865;(12) 3285-8022;(12) 98945-3977;simone.silva@exemplo.com.br;Sérgio Almeida Ribeiro;(12) 98449-5471;Simone Lima Silva;(12) 99747-7865
2026;EConQui-2PMC;0214520235;Ensino Médio/Técnico em Química;2;Matriculado;2026018;Sofia Rodrigues Almeida;11/06/2010;14.899.767-0;;sofia.almeida32@exemplo.com.br;(12) 98408-1333;Fernando Nascimento Almeida;(12) 99709-2341;(12) 3836-3496;(12) 98969-2874;fernando.almeida@exemplo.com.br;Luciana Nascimento Rodrigues;(12) 98963-1317;(12) 3777-4571;;luciana.rodrigues@exemplo.com.br;Luciana Nascimento Rodrigues;(12) 98963-1317;Luciana Nascimento Rodrigues;(12) 98963-1317
2026;EConACli-2PMA;0214520237;Ensino Médio/Técnico em Análises Clínicas;2;Trancado;2026019;Henrique Souza Carvalho;10/03/2010;12.455.645-6;;henrique.carvalho9@exemplo.com.br;(12) 99036-6590;;;;;;Cláudia Carvalho Souza;(12) 98155-4978;(12) 3212-7882;;claudia.souza@exemplo.com.br;José Silva Carvalho;(12) 98812-4249;José Silva Carvalho;(12) 98812-4249
2026;EConQui-2PMA;0214520235;Ensino Médio/Técnico em Química;2;Matriculado;2026020;Alice Martins Ferreira;14/03/2010;38.349.868-7;(12) 3884-7209;alice.ferreira44@exemplo.com.br;(12) 98058-9098;Marcos Nascimento Ferreira;(12) 98952-8136;(12) 3532-3979;;marcos.ferreira@exemplo.com.br;Vanessa Ribeiro Martins;(12) 99691-5397;(12) 3563-5232;;vanessa.martins@exemplo.com.br;Marcos Nascimento Ferreira;(12) 98952-8136;Marcos Nascimento Ferreira;(12) 98952-8136
2026;EConEletr-3PMA;0214520205;Ensino Médio/Técnico em Eletrônica;3;Matriculado;2026021;Camila Silva Nascimento;03/04/2009;24.514.808-3;(12) 3795-7046;camila.nascimento61@exemplo.com.br;(12) 99133-9698;Paulo Gomes Nascimento;(12) 99414-8800;(12) 3552-7971;;paulo.nascimento@exemplo.com.br;Renata Almeida Silva;(12) 99322-9041;(12) 3763-6419;;renata.silva@exemplo.com.br;Renata Almeida Silva;(12) 99322-9041;Renata Almeida Silva;(12) 99322-9041
